person_id,method,matched_frames,valid_points,mpjpe,median,p95,evaluation_protocol
10,avg_body_current,949,66430,0.0839228180283742,0.063911916852645,0.2194902309391229,similarity_plus_hip_centering
100,avg_body_current,1112,77840,0.0520047615342018,0.0435281961486129,0.1171810426870043,similarity_plus_hip_centering
101,avg_body_current,977,68390,0.0440079758275582,0.0419558625722259,0.0906408703792105,similarity_plus_hip_centering
102,avg_body_current,1114,77980,0.0486999965107987,0.0421414412494444,0.1090162996728057,similarity_plus_hip_centering
103,avg_body_current,971,67970,0.0676024354692993,0.0564922749944722,0.1701175129190842,similarity_plus_hip_centering
104,avg_body_current,1083,75810,0.0508183171178125,0.0454565925170506,0.1039271263373015,similarity_plus_hip_centering
105,avg_body_current,1278,89460,0.063131333949795,0.0534114684875051,0.1521876933380597,similarity_plus_hip_centering
108,avg_body_current,1123,78610,0.073754074815566,0.0613271861423276,0.180256505006967,similarity_plus_hip_centering
109,avg_body_current,1145,80150,0.0896085351487147,0.0800388828510339,0.1889343454754885,similarity_plus_hip_centering
11,avg_body_current,1116,78120,0.0617798801666216,0.0565110948467841,0.1269760379941118,similarity_plus_hip_centering
110,avg_body_current,1113,77910,0.0588408880645576,0.0492733829459456,0.14290265230267,similarity_plus_hip_centering
111,avg_body_current,1106,77420,0.0785655310918737,0.0648776297162178,0.1779955171348343,similarity_plus_hip_centering
112,avg_body_current,1127,78890,0.0606685521931653,0.0538999464454585,0.134596720278822,similarity_plus_hip_centering
113,avg_body_current,1123,78610,0.0465533790612585,0.0385674284878204,0.1175351219907344,similarity_plus_hip_centering
114,avg_body_current,1431,100170,0.0593479387755489,0.051259375007348,0.1354015962585898,similarity_plus_hip_centering
115,avg_body_current,1141,79870,0.063236011710451,0.0515406987890405,0.1536551408806613,similarity_plus_hip_centering
119,avg_body_current,968,67760,0.0764816530202342,0.06270267113918,0.1809822268330247,similarity_plus_hip_centering
120,avg_body_current,957,66990,0.0909574665802212,0.072125415998604,0.2169453899265284,similarity_plus_hip_centering
121,avg_body_current,964,67480,0.1019413308872326,0.0826014869504427,0.2474973931488291,similarity_plus_hip_centering
122,avg_body_current,1110,77700,0.0732808336413158,0.0610113925371672,0.1599881898277394,similarity_plus_hip_centering
124,avg_body_current,1100,77000,0.0615615027376828,0.044064277911084,0.1679293964860614,similarity_plus_hip_centering
125,avg_body_current,955,66850,0.0884310743025545,0.0738549430233335,0.20573584282647,similarity_plus_hip_centering
